"personid","site_code","dob","dod","father","mother"
"eg0001","EG","1968-99-99",NA,"eg8001","eg0149"
"eg0002","EG","1980-99-99",NA,"eg8002","eg8003"
"eg0003","EG","2000-99-99",NA,"eg0001","eg0002"
"eg0004","EG","2008-99-99",NA,NA,NA
"eg0005","EG","2000-99-99",NA,"eg0001","eg0002"
"eg0006","EG","2009-99-99",NA,"eg0001","eg0002"
"eg0007","EG","1967-99-99",NA,"eg8004","eg8005"
"eg0008","EG","1973-99-99",NA,"eg0030","eg0270"
"eg0009","EG","2015-99-99",NA,NA,NA
"eg0010","EG","2008-99-99",NA,"eg0007","eg0008"
"eg0011","EG","1967-99-99",NA,"eg0001","eg8006"
"eg0012","EG","1970-99-99",NA,"eg8007","eg8008"
"eg0013","EG","1999-99-99",NA,NA,NA
"eg0014","EG","2009-99-99",NA,"eg0011","eg0012"
"eg0015","EG","2000-99-99",NA,NA,NA
"eg0016","EG","2012-99-99",NA,"eg0011","eg0012"
"eg0017","EG","2010-99-99",NA,"eg0011","eg0012"
"eg0018","EG","1972-99-99",NA,"eg8009","eg8010"
"eg0019","EG","1974-99-99",NA,"eg8011","eg0275"
"eg0020","EG","2020-99-99",NA,"eg0018","eg0019"
"eg0021","EG","2003-99-99",NA,"eg0018","eg0019"
"eg0022","EG","2008-99-99",NA,"eg0018","eg0019"
"eg0023","EG","2020-99-99",NA,NA,NA
"eg0024","EG","1999-99-99",NA,"eg0018","eg0019"
"eg0025","EG","1980-99-99",NA,"eg0128","eg8012"
"eg0026","EG","1970-99-99",NA,"eg8013","eg8014"
"eg0027","EG","2009-99-99",NA,NA,NA
"eg0028","EG","1998-99-99",NA,NA,NA
"eg0029","EG","2014-99-99",NA,"eg0025","eg0026"
"eg0030","EG","1976-99-99",NA,"eg8015","eg8016"
"eg0031","EG","1968-99-99",NA,"eg8017","eg8018"
"eg0032","EG","2006-99-99",NA,"eg0030","eg0031"
"eg0033","EG","2014-99-99",NA,"eg0030","eg0031"
"eg0034","EG","2008-99-99",NA,NA,NA
"eg0035","EG","1964-99-99",NA,"eg0237","eg8019"
"eg0036","EG","1971-99-99",NA,"eg8020","eg8021"
"eg0037","EG","2015-99-99",NA,"eg0035","eg0036"
"eg0038","EG","2012-99-99",NA,NA,NA
"eg0039","EG","2001-99-99",NA,NA,NA
"eg0040","EG","2016-99-99",NA,NA,NA
"eg0041","EG","2022-99-99",NA,NA,NA
"eg0042","EG","1966-99-99",NA,"eg0051","eg0212"
"eg0043","EG","1993-99-99",NA,"eg8022","eg8023"
"eg0044","EG","2022-99-99",NA,"eg0042","eg0043"
"eg0045","EG","2006-99-99",NA,"eg0042","eg0043"
"eg0046","EG","1999-99-99",NA,"eg0042","eg0043"
"eg0047","EG","1969-99-99",NA,"eg0197","eg8024"
"eg0048","EG","1973-99-99",NA,"eg8025","eg8026"
"eg0049","EG","2020-99-99",NA,"eg0047","eg0048"
"eg0050","EG","2008-99-99",NA,NA,NA
"eg0051","EG","1981-99-99",NA,"eg0185","eg8027"
"eg0052","EG","1991-99-99",NA,"eg0084","eg8028"
"eg0053","EG","2003-99-99",NA,NA,NA
"eg0054","EG","2015-99-99",NA,NA,NA
"eg0055","EG","2012-99-99",NA,NA,NA
"eg0056","EG","1978-99-99",NA,"eg8029","eg0227"
"eg0057","EG","1991-99-99",NA,"eg8030","eg8031"
"eg0058","EG","2001-99-99",NA,"eg0056","eg0057"
"eg0059","EG","1978-99-99",NA,"eg0203","eg8032"
"eg0060","EG","1979-99-99",NA,"eg8033","eg8034"
"eg0061","EG","2006-99-99",NA,"eg0059","eg0060"
"eg0062","EG","1970-99-99",NA,"eg8035","eg8036"
"eg0063","EG","1979-99-99",NA,"eg8037","eg0149"
"eg0064","EG","2002-99-99",NA,NA,NA
"eg0065","EG","2005-99-99",NA,NA,NA
"eg0066","EG","2018-99-99",NA,"eg0062","eg0063"
