"personid","site_code","dob","dod","father","mother"
"ex0001","EX","1975-99-99",NA,"ex0236","ex0250"
"ex0002","EX","1974-99-99",NA,"ex8001","ex8002"
"ex0003","EX","2010-99-99",NA,"ex0001","ex0002"
"ex0004","EX","2002-99-99",NA,NA,NA
"ex0005","EX","2020-99-99",NA,"ex0001","ex0002"
"ex0006","EX","2019-99-99",NA,"ex0001","ex0002"
"ex0007","EX","2018-99-99",NA,NA,NA
"ex0008","EX","1969-99-99",NA,"ex0088","ex8003"
"ex0009","EX","1984-99-99",NA,"ex0108","ex8004"
"ex0010","EX","2002-99-99",NA,NA,NA
"ex0011","EX","1972-99-99",NA,"ex8005","ex8006"
"ex0012","EX","1973-99-99",NA,"ex8007","ex8008"
"ex0013","EX","2009-99-99",NA,NA,NA
"ex0014","EX","2002-99-99",NA,NA,NA
"ex0015","EX","2010-99-99",NA,"ex0011","ex0012"
"ex0016","EX","1987-99-99",NA,"ex8009","ex8010"
"ex0017","EX","1974-99-99",NA,"ex0359","ex0161"
"ex0018","EX","1999-99-99",NA,NA,NA
"ex0019","EX","1972-99-99",NA,"ex8011","ex8012"
"ex0020","EX","1976-99-99",NA,"ex8013","ex8014"
"ex0021","EX","2000-99-99",NA,"ex0019","ex0020"
"ex0022","EX","1988-99-99",NA,"ex0258","ex8015"
"ex0023","EX","1973-99-99",NA,"ex0227","ex0301"
"ex0024","EX","2022-99-99",NA,"ex0022","ex0023"
"ex0025","EX","2017-99-99",NA,"ex0022","ex0023"
"ex0026","EX","2002-99-99",NA,"ex0022","ex0023"
"ex0027","EX","2006-99-99",NA,"ex0022","ex0023"
"ex0028","EX","2008-99-99",NA,"ex0022","ex0023"
"ex0029","EX","1973-99-99",NA,"ex8016","ex8017"
"ex0030","EX","1990-99-99",NA,"ex8018","ex8019"
"ex0031","EX","2002-99-99",NA,"ex0029","ex0030"
"ex0032","EX","2001-99-99",NA,NA,NA
"ex0033","EX","1999-99-99",NA,"ex0029","ex0030"
"ex0034","EX","2018-99-99",NA,NA,NA
"ex0035","EX","2017-99-99",NA,"ex0029","ex0030"
"ex0036","EX","1968-99-99",NA,"ex8020","ex8021"
"ex0037","EX","1973-99-99",NA,"ex8022","ex0104"
"ex0038","EX","2010-99-99",NA,NA,NA
"ex0039","EX","2016-99-99",NA,"ex0036","ex0037"
"ex0040","EX","1998-99-99",NA,"ex0036","ex0037"
"ex0041","EX","1970-99-99",NA,"ex0230","ex0002"
"ex0042","EX","1974-99-99",NA,"ex8023","ex8024"
"ex0043","EX","2001-99-99",NA,NA,NA
"ex0044","EX","1999-99-99",NA,"ex0041","ex0042"
"ex0045","EX","2022-99-99",NA,NA,NA
"ex0046","EX","1974-99-99",NA,"ex8025","ex0147"
"ex0047","EX","1987-99-99",NA,"ex8026","ex0199"
"ex0048","EX","2017-99-99",NA,"ex0046","ex0047"
"ex0049","EX","2000-99-99",NA,NA,NA
"ex0050","EX","1982-99-99",NA,"ex8027","ex8028"
"ex0051","EX","1979-99-99",NA,"ex0312","ex0030"
"ex0052","EX","1998-99-99",NA,NA,NA
"ex0053","EX","2017-99-99",NA,"ex0050","ex0051"
"ex0054","EX","2015-99-99",NA,"ex0050","ex0051"
"ex0055","EX","2014-99-99",NA,NA,NA
"ex0056","EX","1968-99-99",NA,"ex8029","ex8030"
"ex0057","EX","1975-99-99",NA,"ex8031","ex0259"
"ex0058","EX","2004-99-99",NA,NA,NA
"ex0059","EX","2015-99-99",NA,"ex0056","ex0057"
"ex0060","EX","1978-99-99",NA,"ex8032","ex0047"
"ex0061","EX","1980-99-99",NA,"ex8033","ex8034"
"ex0062","EX","2020-99-99",NA,NA,NA
