"personid","site_code","dob","dod","father","mother"
"sm0001","SM","1985-99-99",NA,"sm0006","sm8001"
"sm0002","SM","1971-99-99",NA,"sm0169","sm8002"
"sm0003","SM","2005-99-99",NA,"sm0001","sm0002"
"sm0004","SM","2012-99-99",NA,"sm0001","sm0002"
"sm0005","SM","2022-99-99",NA,"sm0001","sm0002"
"sm0006","SM","1978-99-99",NA,"sm8003","sm8004"
"sm0007","SM","1988-99-99",NA,"sm8005","sm8006"
"sm0008","SM","2014-99-99",NA,"sm0006","sm0007"
"sm0009","SM","2010-99-99",NA,NA,NA
"sm0010","SM","2002-99-99",NA,"sm0006","sm0007"
"sm0011","SM","2010-99-99",NA,"sm0006","sm0007"
"sm0012","SM","1970-99-99",NA,"sm8007","sm8008"
"sm0013","SM","1973-99-99",NA,"sm0308","sm8009"
"sm0014","SM","2011-99-99",NA,"sm0012","sm0013"
"sm0015","SM","2011-99-99",NA,NA,NA
"sm0016","SM","1973-99-99",NA,"sm8010","sm0002"
"sm0017","SM","1988-99-99",NA,"sm0112","sm8011"
"sm0018","SM","2022-99-99",NA,"sm0016","sm0017"
"sm0019","SM","2003-99-99",NA,"sm0016","sm0017"
"sm0020","SM","1984-99-99",NA,"sm0209","sm8012"
"sm0021","SM","1973-99-99",NA,"sm0071","sm8013"
"sm0022","SM","2004-99-99",NA,"sm0020","sm0021"
"sm0023","SM","2019-99-99",NA,"sm0020","sm0021"
"sm0024","SM","1975-99-99",NA,"sm8014","sm8015"
"sm0025","SM","1980-99-99",NA,"sm8016","sm8017"
"sm0026","SM","2016-99-99",NA,NA,NA
"sm0027","SM","2011-99-99",NA,NA,NA
"sm0028","SM","2002-99-99",NA,NA,NA
"sm0029","SM","1981-99-99",NA,"sm8018","sm8019"
"sm0030","SM","1981-99-99",NA,"sm8020","sm0340"
"sm0031","SM","2008-99-99",NA,"sm0029","sm0030"
"sm0032","SM","2014-99-99",NA,NA,NA
"sm0033","SM","1999-99-99",NA,NA,NA
"sm0034","SM","2005-99-99",NA,"sm0029","sm0030"
"sm0035","SM","2006-99-99",NA,"sm0029","sm0030"
"sm0036","SM","1969-99-99",NA,"sm8021","sm8022"
"sm0037","SM","1971-99-99",NA,"sm0024","sm0117"
"sm0038","SM","2016-99-99",NA,"sm0036","sm0037"
"sm0039","SM","2001-99-99",NA,"sm0036","sm0037"
"sm0040","SM","1976-99-99",NA,"sm0100","sm8023"
"sm0041","SM","1973-99-99",NA,"sm8024","sm8025"
"sm0042","SM","2007-99-99",NA,NA,NA
"sm0043","SM","2013-99-99",NA,NA,NA
"sm0044","SM","2020-99-99",NA,"sm0040","sm0041"
"sm0045","SM","2009-99-99",NA,NA,NA
"sm0046","SM","1987-99-99",NA,"sm0062","sm0302"
"sm0047","SM","1973-99-99",NA,"sm0040","sm8026"
"sm0048","SM","1999-99-99",NA,"sm0046","sm0047"
"sm0049","SM","2014-99-99",NA,"sm0046","sm0047"
"sm0050","SM","2005-99-99",NA,NA,NA
"sm0051","SM","1978-99-99",NA,"sm0152","sm8027"
"sm0052","SM","1984-99-99",NA,"sm8028","sm8029"
"sm0053","SM","2006-99-99",NA,NA,NA
"sm0054","SM","2000-99-99",NA,NA,NA
"sm0055","SM","2004-99-99",NA,"sm0051","sm0052"
"sm0056","SM","2013-99-99",NA,NA,NA
"sm0057","SM","2010-99-99",NA,NA,NA
"sm0058","SM","1969-99-99",NA,"sm8030","sm8031"
"sm0059","SM","1977-99-99",NA,"sm8032","sm8033"
"sm0060","SM","2002-99-99",NA,NA,NA
"sm0061","SM","2004-99-99",NA,NA,NA
"sm0062","SM","1986-99-99",NA,"sm0152","sm8034"
"sm0063","SM","1975-99-99",NA,"sm8035","sm8036"
"sm0064","SM","2003-99-99",NA,NA,NA
"sm0065","SM","2014-99-99",NA,"sm0062","sm0063"
"sm0066","SM","2012-99-99",NA,"sm0062","sm0063"
"sm0067","SM","1968-99-99",NA,"sm8037","sm8038"
"sm0068","SM","1991-99-99",NA,"sm8039","sm0417"
"sm0069","SM","2015-99-99",NA,"sm0067","sm0068"
"sm0070","SM","2013-99-99",NA,"sm0067","sm0068"
"sm0071","SM","1977-99-99",NA,"sm0431","sm8040"
"sm0072","SM","1975-99-99",NA,"sm8041","sm8042"
"sm0073","SM","2021-99-99",NA,NA,NA
"sm0074","SM","2001-99-99",NA,"sm0071","sm0072"
"sm0075","SM","2010-99-99",NA,NA,NA
"sm0076","SM","1982-99-99",NA,"sm8043","sm0289"
"sm0077","SM","1974-99-99",NA,"sm8044","sm8045"
"sm0078","SM","2017-99-99",NA,"sm0076","sm0077"
"sm0079","SM","1963-99-99",NA,"sm8046","sm8047"
"sm0080","SM","1990-99-99",NA,"sm8048","sm8049"
"sm0081","SM","1998-99-99",NA,"sm0079","sm0080"
"sm0082","SM","2007-99-99",NA,NA,NA
"sm0083","SM","2021-99-99",NA,"sm0079","sm0080"
"sm0084","SM","2003-99-99",NA,NA,NA
"sm0085","SM","2017-99-99",NA,"sm0079","sm0080"
"sm0086","SM","1984-99-99",NA,"sm8050","sm8051"
"sm0087","SM","1986-99-99",NA,"sm8052","sm0264"
"sm0088","SM","2003-99-99",NA,"sm0086","sm0087"
"sm0089","SM","2004-99-99",NA,NA,NA
"sm0090","SM","2014-99-99",NA,NA,NA
"sm0091","SM","2006-99-99",NA,"sm0086","sm0087"
"sm0092","SM","2007-99-99",NA,NA,NA
"sm0093","SM","1964-99-99",NA,"sm0457","sm8053"
"sm0094","SM","1981-99-99",NA,"sm0029","sm8054"
"sm0095","SM","2018-99-99",NA,"sm0093","sm0094"
"sm0096","SM","2003-99-99",NA,"sm0093","sm0094"
"sm0097","SM","2003-99-99",NA,NA,NA
"sm0098","SM","2010-99-99",NA,NA,NA
"sm0099","SM","2017-99-99",NA,NA,NA
"sm0100","SM","1987-99-99",NA,"sm0384","sm8055"
"sm0101","SM","1992-99-99",NA,"sm0046","sm8056"
"sm0102","SM","2009-99-99",NA,"sm0100","sm0101"
"sm0103","SM","2012-99-99",NA,"sm0100","sm0101"
"sm0104","SM","2002-99-99",NA,NA,NA
"sm0105","SM","1969-99-99",NA,"sm8057","sm8058"
"sm0106","SM","1970-99-99",NA,"sm0203","sm8059"
"sm0107","SM","2017-99-99",NA,"sm0105","sm0106"
"sm0108","SM","2008-99-99",NA,"sm0105","sm0106"
"sm0109","SM","2008-99-99",NA,"sm0105","sm0106"
"sm0110","SM","1998-99-99",NA,"sm0105","sm0106"
"sm0111","SM","2009-99-99",NA,"sm0105","sm0106"
"sm0112","SM","1970-99-99",NA,"sm0217","sm0248"
"sm0113","SM","1978-99-99",NA,"sm8060","sm8061"
"sm0114","SM","2012-99-99",NA,"sm0112","sm0113"
"sm0115","SM","2022-99-99",NA,NA,NA
"sm0116","SM","1979-99-99",NA,"sm8062","sm8063"
"sm0117","SM","1988-99-99",NA,"sm8064","sm8065"
"sm0118","SM","1998-99-99",NA,"sm0116","sm0117"
"sm0119","SM","2008-99-99",NA,"sm0116","sm0117"
"sm0120","SM","1971-99-99",NA,"sm8066","sm0330"
"sm0121","SM","1983-99-99",NA,"sm8067","sm8068"
"sm0122","SM","2003-99-99",NA,NA,NA
"sm0123","SM","1971-99-99",NA,"sm8069","sm8070"
"sm0124","SM","1968-99-99",NA,"sm8071","sm8072"
"sm0125","SM","2006-99-99",NA,"sm0123","sm0124"
"sm0126","SM","1998-99-99",NA,NA,NA
"sm0127","SM","1982-99-99",NA,"sm0269","sm8073"
"sm0128","SM","1972-99-99",NA,"sm8074","sm8075"
"sm0129","SM","2016-99-99",NA,NA,NA
"sm0130","SM","2022-99-99",NA,NA,NA
"sm0131","SM","1998-99-99",NA,"sm0127","sm0128"
"sm0132","SM","1986-99-99",NA,"sm8076","sm8077"
"sm0133","SM","1975-99-99",NA,"sm8078","sm8079"
"sm0134","SM","1999-99-99",NA,"sm0132","sm0133"
"sm0135","SM","2019-99-99",NA,"sm0132","sm0133"
"sm0136","SM","2012-99-99",NA,"sm0132","sm0133"
"sm0137","SM","2020-99-99",NA,NA,NA
"sm0138","SM","1974-99-99",NA,"sm0339","sm0355"
"sm0139","SM","1984-99-99",NA,"sm8080","sm8081"
"sm0140","SM","2005-99-99",NA,"sm0138","sm0139"
"sm0141","SM","2008-99-99",NA,NA,NA
"sm0142","SM","2014-99-99",NA,NA,NA
"sm0143","SM","1965-99-99",NA,"sm8082","sm8083"
"sm0144","SM","1978-99-99",NA,"sm0301","sm8084"
"sm0145","SM","2020-99-99",NA,"sm0143","sm0144"
"sm0146","SM","2013-99-99",NA,NA,NA
"sm0147","SM","1966-99-99",NA,"sm8085","sm0259"
"sm0148","SM","1978-99-99",NA,"sm8086","sm8087"
"sm0149","SM","2011-99-99",NA,"sm0147","sm0148"
"sm0150","SM","2002-99-99",NA,NA,NA
"sm0151","SM","2019-99-99",NA,"sm0147","sm0148"
"sm0152","SM","1979-99-99",NA,"sm8088","sm8089"
"sm0153","SM","1989-99-99",NA,"sm8090","sm8091"
"sm0154","SM","2004-99-99",NA,"sm0152","sm0153"
"sm0155","SM","2009-99-99",NA,NA,NA
"sm0156","SM","2001-99-99",NA,NA,NA
"sm0157","SM","1999-99-99",NA,"sm0152","sm0153"
"sm0158","SM","2003-99-99",NA,"sm0152","sm0153"
"sm0159","SM","1965-99-99",NA,"sm8092","sm8093"
"sm0160","SM","1982-99-99",NA,"sm8094","sm8095"
"sm0161","SM","2009-99-99",NA,"sm0159","sm0160"
"sm0162","SM","2022-99-99",NA,"sm0159","sm0160"
"sm0163","SM","1973-99-99",NA,"sm0169","sm8096"
"sm0164","SM","1975-99-99",NA,"sm0420","sm8097"
